Count_of_sizes,Name_ of_colors,Product_code
"['39', '40', '41', '42', '43', '44', '45']",CAMEL,FGC0510AR842A
"['39', '40', '41', '42', '43', '44', '45']",GREY,FGC0H9050021A
"['39', '40', '41', '42', '43', '44', '45']",SNAYPE,FGC015050141A
"['39', '40']",NAVY,FGC0H9019241A
,,FGC0CG043671A
"['39', '40', '41', '42', '43', '44', '45']",BLACK,FGC0AY050211A
"['41', '42', '43', '44']",CASHEW BROWN,FGC0GF0R8101Z
"['39', '40', '41', '42', '43', '44', '45']",OLIVE GREEN,FGC0L4023181A
"['41', '42', '43', '44', '45']",KHAKI,FGC051044842A
['40'],DNAVY,FGC090042591A
"['40', '41']",DUBAI KHAKI,FGC0L5034741A
"['39', '40', '41', '43', '44', '45']",DNAVY,FGC0GF0R7561Z
[],DBROWN,FGC0B3033201A
"['42', '43', '45']",BLACK,FGC018008631G
"['40', '41', '42', '43', '44']",TOBACCO,FGC051032831A
"['40', '41', '42', '43', '44', '45']",DNAVY,FGC015024041A
"['41', '42', '43', '44', '45']",SKY BLUE,FGC0H9028061B
"['40', '41', '42', '43', '44', '45']",CAMEL,FGC0L4035541A
"['40', '41', '42', '43', '44', '45']",RED BROWN,FGC0AY032581A
"['40', '41', '42', '43', '44', '45']",RUST BROWN,FGC0H9028051A
[],BROWN,FGC0L4018681A
"['41', '42', '43', '44', '45']",CAMEL,FGC051039531A
"['40', '41', '42', '43', '44']",KHAKI,FGC0AA027551A
"['41', '43', '44', '45']",DROYAL BLUE,FGC0M6032201A
"['39', '41']",DNAVY,FGC0V70R8141Z
"['39', '40', '41', '43', '44', '45']",CAMEL,FGC0L4056111G
"['44', '45']",DUBAI KHAKI,FGC0H9025671E
"['39', '40', '41', '42', '43', '44']",DUBAI KHAKI,FGC090040561A
"['40', '41', '42', '43', '44', '45']",KHAKI,FGC0510T8792A
['40'],WHITE,FGC0B3025101A
"['40', '42', '43', '44', '45']",OLIVE GREEN,FGC0E4005721F
"['42', '43', '44', '45']",CAMEL,FGC015056101G
"['40', '42', '43']",BLACK,FGC0AJ024801B
"['39', '40', '41', '42', '43', '44']",BROWN,FGC0L4005721F
"['40', '41', '42', '43', '44']",BROWN,FGC0CO030341A
"['44', '45']",CAMEL,FGC0T8018691A
"['39', '40', '41', '42', '43', '44', '45']",NAVY,FGC0V2025181A
"['40', '42', '43', '44', '45']",DENIM,FGC0Q9012542A
"['40', '41', '42', '43', '44', '45']",TURMERIC,FGC051030301A
,,FGC031042142A
"['40', '41', '42', '43', '44']",OLIVE GREEN,FGC0L40R7641Z
"['39', '40']",RUST BROWN,FGC0B3025181A
['45'],CAMEL,FGC0J0014631A
"['39', '40', '41', '42']",DBLUE,FGC089025141A
"['42', '43', '44', '45']",KHAKI,FGC081043472A
"['40', '41', '42', '43', '44', '45']",DBROWN,FGC0AR024531A
"['40', '41', '45']",NAVY,FGC031042052A
"['44', '45']",OLIVE GREEN,FGC0X6024541A
"['39', '40', '41', '42', '43']",BLACK,FGC051024631A
"['40', '41', '42', '43', '44', '45']",GREY,FGC0150T7072A
"['40', '41', '42', '43', '44']",PARIS JEANSBLUE,FGC051030141A
[],OLIVE GREEN,FGC0900R8081Z
[],OLIVE,FGC0GF0R7401Z
"['40', '41', '42', '43', '44']",CAMEL,FGC015027551A
"['40', '42', '43', '44', '45']",CAMEL,FGC015017591A
"['39', '40', '41', '42', '43', '45']",BLACK,FGC051028651A
"['40', '41', '42', '43', '44', '45']",NAVY,FGC031044502A
"['41', '45']",KHAKI,FGC0G2028661A
"['43', '44', '45']",DNAVY,FGC051035891A
"['40', '42', '43', '44']",NAVY,FGC031042102A
"['40', '41', '42', '43', '45']",CAMEL,FGC051043251A
"['42', '43', '44', '45']",BLACK,FGC0CG032211A
,,FGC031042132A
"['39', '40', '41', '42', '43', '44']",KHAKI,FGC0BB027801A
"['41', '42', '43', '44', '45']",NAVY,FGC0180U4402A
"['40', '41', '42', '43', '44', '45']",OLIVE GREEN,FGC0E7009261E
"['39', '40', '41']",DNAVY 3,FGC0H9024651A
"['39', '40', '41', '42', '43']",NAVY,FGC0L4010421D
"['43', '44', '45']",OLIVE GREEN,FGC0M6032841A
"['43', '44', '45']",PARIS HAT GREY,FGC0H9028111A
[],DBROWN,FGC0150R6901Z
"['40', '41', '42', '43', '44', '45']",BEIGE,FGC0510S0372A
"['40', '41', '42', '43', '44', '45']",DENIM BLUE,FGC031030701A
"['43', '44', '45']",CAMEL,FGC0M1012542A
"['39', '40', '41', '44']",DUBAI KHAKI,FGC0GF0R7001Z
"['42', '43', '44', '45']",DNAVY,FGC0H9025771C
"['40', '43', '44']",KHAKI,FGC0H9030201A
[],CASTOR GREY,FGC0AA032591A
"['39', '40', '41', '42', '43']",BEIGE,FGC051024581A
['45'],DNAVY 4,FGC0AA027281A
"['41', '42', '43']",CAMEL,FGC0V7042611A
['40'],OLIVE GREEN,FGC0N8024531A
['43'],OLIVE,FGC0L40R6641Z
"['40', '41', '42', '43', '44', '45']",KHAKI,FGC0L4004661F
[],DUBAI KHAKI,FGC0L4037341A
"['41', '42', '43', '44', '45']",BLACK,FGC0150T7082A
"['40', '41', '42', '43', '44', '45']",BEIGE,FGC089028011B
"['39', '40', '41', '42']",NAVY,FGC0V2025101A
['43'],DUBAI KHAKI,FGC051040021A
['44'],KHAKI,FGC0CG032861A
"['40', '42', '43', '44']",CASTOR GREY,FGC0AA030341A
"['40', '41', '42', '43', '44']",BROWN,FGC0M30R6681Z
"['40', '41', '42', '44', '45']",TAN,FGC091012111B
"['41', '43']",GREY,FGC031042062A
"['42', '43', '44']",BLUE,FGC0510S0352A
"['41', '42', '43', '44']",CAMEL,FGC0GF042551A
"['42', '43', '44', '45']",SNAYPE,FGC0H9020821B
"['42', '44']",RB BROWN,FGC0AN024231B
"['40', '44', '45']",RBLUE,FGC0H9025111B
['40'],OLIVE GREEN,FGC0GF0R8121Z
['40'],KHAKI,FGC090027401A
[],RUSSIA DBROWN,FGC0AC0R7721Z
,,FGC0GF0R6861Z
"['41', '43']",BLUE,FGC031039072A
['39'],KHAKI,FGC037005801F
[],KHAKI,FGC015033061A
[],CAMEL,FGC0BB034651A
"['40', '42', '43', '45']",WHITE,FGC031042112A
"['40', '42', '43', '44']",CAMEL,FGC0L5012521C
"['40', '41', '43', '45']",TAN,FGC0X0044852A
"['41', '42', '43', '44', '45']",BLUE,FGC0180V3502A
"['43', '44']",YELLOW,FGC051030321A
"['39', '40', '43', '44', '45']",CAMEL,FGC0GF0R6881Z
"['39', '45']",KHAKI,FGC013005491E
"['40', '44']",KHAKI,FGC0H9027111A
"['41', '43', '44']",SNAYPE,FGC015034631A
"['40', '43', '44', '45']",BLUE,FGC0AA028011B
"['40', '41', '42', '44']",KHAKI,FGC051034891A
"['40', '42', '44', '45']",TOBACCO,FGC0L40R6741Z
[],KHAKI,FGC0AA025151A
"['43', '44']",GINGEMBRE,FGC0CP030311A
"['39', '41', '43', '45']",OLIVE GREEN,FGC0510R6801Z
"['42', '43', '44']",BLACK,FGC0890U0842A
"['39', '40']",KHAKI,FGC015027791A
"['41', '42', '44']",BLACK/RED,FGC0H40U6282A
['45'],DGREY,FGC031039082A
"['39', '45']",CAMEL,FGC0L4005491E
"['43', '45']",DROYAL BLUE,FGC015035041A
"['39', '40', '43', '44', '45']",DNAVY,FGC0AA027411A
"['39', '40', '41', '43']",OLIVE GREEN,FGC051027541A
"['44', '45']",PARIS CLEMARIS BLUE,FGC0H9028661A
"['40', '41', '42', '43']",TOBACCO M11,FGC0X6024631A
"['40', '42', '43', '44', '45']",BLACK,FGC0Q90R6721Z
"['39', '43', '44']",CAMEL,FGC0L5037361A
"['40', '41', '42']",KHAKI,FGC0H9025841B
[],OLIVE GREEN,FGC0L4032821A
[],OLIVE GREEN,FGC0L4040271A
"['39', '40', '41', '42', '43']",CAMEL,FGC0T80R6761Z
[],DUBAI KHAKI,FGC013040571A
['40'],NAVY,FGC018041422A
"['41', '43', '45']",LGREY,FGC031040211A
"['40', '41', '42', '43']",CAMEL,FGC0510R8061Z
['41'],NAVY,FGC051044662A
"['40', '41', '42', '43', '44', '45']",WHITE,FGC031042122A
"['40', '45']",KHAKI,FGC0AA027971A
"['40', '42', '43']",SNAYPE,FGC0W5035081A
"['40', '41', '43']",TOBACCO,FGC0GF0R6781Z
"['40', '44']",KHAKI,FGC031044492A
"['39', '44']",KHAKI,FGC0GF0R6701Z
[],OLIVE GREEN,FGC051040011A
['45'],KHAKI,FGC090012521B
"['39', '40']",SNAYPE,FGC0AA025141A
"['40', '42', '43', '44']",DGREY,FGC015028011B
['44'],RUSSIA DBROWN,FGC0H9033031B
[],DRUST,FGC018012521A
"['40', '41']",WHITE,FGC0180U2972A
"['40', '41', '42', '44']",GREY,FGC031027611A
"['40', '41', '42', '43', '44', '45']",KHAKI,FGC0X60R6761Z
['43'],SGREEN,FGC0M1011201D
"['40', '44']",DUBAI KHAKI,FGC051038831A
[],CADET BLUE,FGC051032411A
['44'],DUBAI KHAKI,FGC0L5039631A
"['44', '45']",KHAKI,FGC013056101G
['42'],TAN,FGC051042662A
['40'],NAVY,FGC0X1019231A
"['39', '40', '41']",RUST BROWN,FGC0AR025091D
"['40', '41', '42']",CAMEL,FGC051042192A
"['39', '40']",CASHEW BROWN,FGC0H9034931A
[],CAMEL,FGC0L4019911A
[],OLIVE GREEN,FGC0M6030151A
"['39', '44']",YELLOW,FGC0G5012521A
[],SGREEN,FGC051027781A
['41'],CAMEL,FGC0GD042631A
['40'],ELECTRIC BLUE,FGC0V4018821A
['46'],BLACK,FGC0H7056081F
"['39', '41']",RUSSIA DBROWN,FGC051040261A
[],CAMEL,FGC0H9025811A
['40'],DSKY BLUE,FGC0B3025101C
"['40', '41', '43']",NAVY,FGC051027571A
"['41', '44']",CAMEL,FGC061043782A
['40'],BLACK,FGC031044482A
[],CAMEL,FGC0H9025821A
['39'],NAVY/LGREY,FGC0BX029931A
"['40', '42', '44']",CAMEL,FGC013026561B
